Site_ID,y.1,y.2,y.3,y.4,year
22,NA,NA,NA,NA,2019
23,NA,NA,NA,NA,2019
24,NA,NA,NA,NA,2019
25,5,NA,NA,NA,2019
26,1,NA,NA,NA,2019
27,1,NA,NA,NA,2019
28,3,NA,NA,NA,2019
29,1,NA,NA,NA,2019
30,4,NA,NA,NA,2019
31,4,NA,NA,NA,2019
32,NA,NA,NA,NA,2019
33,4,NA,NA,NA,2019
34,9,NA,NA,NA,2019
35,13,NA,NA,NA,2019
36,3,NA,NA,NA,2019
37,2,NA,NA,NA,2019
38,1,NA,NA,NA,2019
39,0,NA,NA,NA,2019
40,NA,NA,NA,NA,2019
41,3,NA,NA,NA,2019
42,0,NA,NA,NA,2019
43,13,NA,NA,NA,2019
44,3,NA,NA,NA,2019
45,2,NA,NA,NA,2019
46,9,NA,NA,NA,2019
47,NA,NA,NA,NA,2019
48,1,NA,NA,NA,2019
49,1,NA,NA,NA,2019
50,NA,NA,NA,NA,2019
51,1,NA,NA,NA,2019
52,0,NA,NA,NA,2019
53,NA,NA,NA,NA,2019
54,NA,NA,NA,NA,2019
55,13,NA,NA,NA,2019
56,3,NA,NA,NA,2019
57,NA,NA,NA,NA,2019
58,13,NA,NA,NA,2019
59,NA,NA,NA,NA,2019
60,0,NA,NA,NA,2019
61,9,NA,NA,NA,2019
62,2,NA,NA,NA,2019
63,8,NA,NA,NA,2019
64,8,NA,NA,NA,2019
65,2,NA,NA,NA,2019
66,0,NA,NA,NA,2019
67,NA,NA,NA,NA,2019
68,NA,NA,NA,NA,2019
69,NA,NA,NA,NA,2019
70,9,NA,NA,NA,2019
71,NA,NA,NA,NA,2019
72,NA,NA,NA,NA,2019
73,NA,NA,NA,NA,2019
74,NA,NA,NA,NA,2019
75,3,NA,NA,NA,2019
76,NA,NA,NA,NA,2019
77,8,NA,NA,NA,2019
78,NA,NA,NA,NA,2019
79,8,NA,NA,NA,2019
80,NA,NA,NA,NA,2019
81,2,NA,NA,NA,2019
82,NA,NA,NA,NA,2019
83,NA,NA,NA,NA,2019
84,21,NA,NA,NA,2019
85,0,NA,NA,NA,2019
86,1,NA,NA,NA,2019
87,0,NA,NA,NA,2019
88,6,NA,NA,NA,2019
89,6,NA,NA,NA,2019
90,NA,NA,NA,NA,2019
91,NA,NA,NA,NA,2019
92,2,NA,NA,NA,2019
93,2,NA,NA,NA,2019
94,NA,NA,NA,NA,2019
95,7,NA,NA,NA,2019
96,1,NA,NA,NA,2019
97,5,NA,NA,NA,2019
98,4,NA,NA,NA,2019
99,21,NA,NA,NA,2019
100,7,NA,NA,NA,2019
101,8,NA,NA,NA,2019
102,8,NA,NA,NA,2019
103,7,NA,NA,NA,2019
104,0,NA,NA,NA,2019
105,2,NA,NA,NA,2019
106,1,NA,NA,NA,2019
107,8,NA,NA,NA,2019
108,3,NA,NA,NA,2019
109,1,NA,NA,NA,2019
110,NA,NA,NA,NA,2019
111,5,NA,NA,NA,2019
112,4,NA,NA,NA,2019
113,NA,NA,NA,NA,2019
114,NA,NA,NA,NA,2019
115,NA,NA,NA,NA,2019
116,NA,NA,NA,NA,2019
117,NA,NA,NA,NA,2019
118,NA,NA,NA,NA,2019
119,NA,NA,NA,NA,2019
120,NA,NA,NA,NA,2019
121,NA,NA,NA,NA,2019
122,NA,NA,NA,NA,2019
123,4,NA,NA,NA,2019
124,3,NA,NA,NA,2019
125,1,NA,NA,NA,2019
126,5,NA,NA,NA,2019
127,1,NA,NA,NA,2019
128,4,NA,NA,NA,2019
129,4,NA,NA,NA,2019
130,1,NA,NA,NA,2019
131,2,NA,NA,NA,2019
132,1,NA,NA,NA,2019
